Pais,Caracteres,Continente,Comida Típica
Albania,7,Europa,Byrek
Armenia,7,Asia,Khorovats
Andorra,7,Europa,Trinxat
Aruba,5,América,Keshi Yena
Belarus,7,Europa,Draniki
Belize,6,América,Stew Chicken
Benin,5,África,Ayimolou
Bhutan,6,Asia,Ema Datshi
Bolivia,7,América,Salteñas
Brasil,6,América,Feijoada
Canada,6,América,Poutine
Chile,5,América,Cazuela
China,5,Asia,Dumplings
Croatia,7,Europa,Čevapi
Denmark,7,Europa,Smørrebrød
Ecuador,7,América,Ceviche
Egypt,5,África,Koshari
España,6,Europa,Paella
Estonia,7,Europa,Verivorst
Finland,7,Europa,Karjalanpiirakka
France,6,Europa,Baguette
Georgia,7,Asia,Khachapuri
Germany,7,Europa,Wiener Schnitzel
Greece,6,Europa,Moussaka
Grenada,7,América,Oildown
Guyana,6,América,Pepperpot
Haiti,5,América,Griot
Ireland,7,Europa,Irish Stew
Italy,5,Europa,Pasta
Japan,5,Asia,Sushi
Jordan,6,Asia,Mansaf
Kenya,5,África,Nyama Choma
Latvia,6,Europa,Sklandrausis
Lesotho,7,África,Mapa
Libya,5,África,Asida
Malawi,6,África,Nsima
Malta,5,Europa,Fenek
Mayotte,7,África,Mataba
Mexico,6,América,Tacos
Moldova,7,Europa,Mămăligă
Morocco,7,África,Tagine
Myanmar,7,Asia,Mohinga
Namibia,7,África,Biltong
Nepal,5,Asia,Momo
Niger,5,África,Jollof Rice
Nigeria,7,África,Jollof Rice
Norway,6,Europa,Rakfisk
Poland,6,Europa,Pierogi
Russia,6,Europa/Asia,Borscht
Senegal,7,África,Thieboudienne
Serbia,6,Europa,Cevapi
Somalia,7,África,Sambusa
Sweden,6,Europa,Köttbullar
Syria,5,Asia,Hummus
Tunisia,7,África,Couscous
Turkey,6,Asia,Kebabs
Uruguay,7,América,Asado
Ukraine,7,Europa,Borscht
Vietnam,7,Asia,Phở
Yemen,5,Asia,Mandi
Zambia,6,África,Nshima